,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý
40,"Nghi thức trì Chú Đại Bi, Chú Dược Sư & Niệm Phật A Di Đà ",https://salt.tikicdn.com/cache/280x280/ts/product/14/c4/2f/a48cf59bcaad57719882a19bf6d86d07.jpg,- Kiến thức tôn giáo,Thích Nhật Từ,Quyển sách này là tuyển tập 3 nghi thức thông dụng với Phật tử Việt Nam: (i) Nghi thức trì chú Đại Bi; (ii) Nghi thức trì chú Dược Sư; (iii) Nghi thức niệm Phật A Di Đà.            “Nghi thức Trì chú...,19000,Khai Tuệ,2020-03-03 13:02:58,,Bìa mềm,76,,,Tái bản,
41,Combo Ám Ảnh Từ Kiếp Trước và Kiếp Nào Ta Cũng Tìm Thấy Nhau,https://salt.tikicdn.com/cache/280x280/ts/product/ee/4a/2a/5164b9c50ac59e637e42692cbbf96d30.jpg,- Kiến thức tôn giáo,Brian L. Weiss,"Thông tin về tác giả:Brian L. Weiss, M.DSau khi tốt nghiệp hạng ưu, trường đại học Columbia và nhận văn bằng y khoa tại trường y khoa của đại học Yale, Brian L. Weiss, TS. Y khoa (MD) tham dự chương t...",139200,Thái Hà,2020-12-01 13:15:14,,Bìa mềm,,Nhà Xuất Bản Lao Động,,,
42,Hành Trình Của Linh Hồn (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/d2/52/b5/b4c0bffcf1f5006a3420ac2ffd63e8f3.jpg,- Kiến thức tôn giáo,Michael Duff Newton,"Bạn có sợ chết không? Bạn có tự hỏi điều gì sẽ xảy ra sau khi bạn chết không? Có thể nào bạn có một linh hồn đến từ đâu đó và sẽ trở về đó sau khi thân xác bạn chết đi, hay đó chỉ là một điều ước ao v...",98200,Thái Hà,2020-11-15 00:00:00,15.5 x 24 cm,Bìa mềm,430,Nhà Xuất Bản Văn Hoá Dân Tộc,Thanh Huyền,,
43,Sống Đời Bình An,https://salt.tikicdn.com/cache/280x280/ts/product/2a/e4/86/f8ed3d1d82c147fc447063c93972013a.jpg,- Kiến thức tôn giáo,Suối Thông,"Sống Đời Bình AnSau sự thành công và được bạn đọc đón nhận, ủng hộ của tác phẩm Thả trôi phiền muộn, tháng 12 này, tác phẩm thứ hai của tác giả - Sư cô Suối Thông sẽ được phát hành với hy vọng tiếp t...",63100,Saigon Books,2018-12-07 11:19:04,<p>13 x 20.5 cm</p>,Bìa mềm,244,,,,
44,Câu Chuyện Kinh Thánh (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/0a/f4/37/747ced4d5c2b6fe73c0b4890c1908d48.jpg,- Kiến thức tôn giáo,Selina Hastings,"Câu Chuyện Kinh Thánh (Tái Bản 2020)Một ấn phẩm mới và nổi bật với hình ảnh minh họa sống động. Một công trình biên soạn dưới sự cố vấn của các nhà nghiên cứu tôn giáo, các học giả và các tu sĩ....",98200,VanLangBooks,2020-05-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,376,Nhà Xuất Bản Hồng Đức,Minh Vi,,
45,Kinh Địa Tạng Bồ Tát Bổn Nguyện Trọn Bộ - Bìa Da ( Tái Bản 2021 ),https://salt.tikicdn.com/cache/280x280/ts/product/ec/fb/f6/0e2b4e0ca972391ee1b47f27d34373b7.jpg,- Kiến thức tôn giáo,HT.Thích Trí Tịnh,Kinh này được cho là ghi lại những lời nói của đức  trong khoảng thời gian cuối cuộc đời của mình.  nói về những sinh vật trên “Thiên đàng” Trayastrimsa (một thế giới của các vị thần trong vũ trụ học ...,58000,Công ty TNHH TM & DV Văn Hóa Hương Trang,,,Bìa Da,244,Nhà Xuất Bản Tôn Giáo,,,
46,Trọn bộ Muôn kiếp nhân sinh 2 tập (kèm bookmark),https://salt.tikicdn.com/cache/280x280/ts/product/d7/2e/98/a32700f1d10fdffe5faa82ccc58e1a9c.jpg,- Kiến thức tôn giáo,Nguyên Phong,"MUÔN KIẾP NHÂN SINH TRỌN BỘ 2 TẬP“Muôn kiếp nhân sinh” là tác phẩm do Giáo sư John Vũ - Nguyên Phong viết từ năm 2017 và hoàn tất đầu năm 2020 ghi lại những câu chuyện, trải nghiệm tiền kiếp kỳ lạ từ...",378000,First News - Trí Việt,,,Bìa mềm,960,Nhà Xuất Bản Tổng hợp TP.HCM,,,
47,Tàn Khốc Mới Là Thanh Xuân,https://salt.tikicdn.com/cache/280x280/ts/product/45/48/06/7d80c9cd69a63e4c0c00848f16266a01.jpg,- Kiến thức tôn giáo,Khenpo Sodargye,"Từ xưa tới nay người thế gian cũng thường dùng những lời tốt đẹp nhất để ca ngợi thanh xuân. Nhưng thanh xuân có lúc không như vậy, luôn có rắn độc nấp sau những khóm hoa diễm lệ. Cho nên thanh xuân c...",84000,Thái Hà,2020-03-02 00:00:00,13 x 20.5 cm,Bìa mềm,321,Nhà Xuất Bản Hà Nội,Nhóm dịch Ca Lăng Tần Già,,
48,"Combo 2 cuốn: Huyền Thuật Và Các Đạo Sĩ Tây Tạng, Đường Mây Qua Xứ Tuyết ",https://salt.tikicdn.com/cache/280x280/ts/product/ef/36/3a/c105341039650e5aef812b20264c45a9.jpg,- Kiến thức tôn giáo,Nguyên Phong," Huyền Thuật Và Các Đạo Sĩ Tây TạngHành trình 12 năm trong đất Phật huyền bí Gần 100 năm kể từ ngày ra mắt, Mystyquet et Magiciens du Tibet, cuốn sách vang dội châu Âu của nữ tác giả người Pháp Ale...",138500,First News - Trí Việt,,,Bìa mềm,,,,,
49,Hỷ Lạc Từ Tâm,https://salt.tikicdn.com/cache/280x280/ts/product/f5/52/28/03a632eea2cd1dd48c5ddbe898a7425b.jpg,- Kiến thức tôn giáo,Desmond Tutu,Hỷ Lạc Từ Tâm là quyển sách được chấp bút bởi Douglas Abrams nhằm truyền tải nội dung các cuộc đối thoại giữa hai nhà lãnh đạo tâm linh thế giới: Đức Đạt Lai Lạt Ma thứ 14 (Tenzin Gyatso) và Đức Tổng ...,101600,Saigon Books,2019-07-01 00:00:00,14 x 20.5 cm,Bìa mềm,432,,,,
50,Thiền - Lịch Sử Và Giáo Huấn,https://salt.tikicdn.com/cache/280x280/ts/product/25/0c/ca/a1cb65cf05ad90464baa1bee1ff84bf9.jpg,- Kiến thức tôn giáo,Osho,"Thái Hà Books trân trọng giới thiệu tới bạn đọc bộ sách gồm 5 cuốn của Osho: Đạo, Đức Phật, Thiền, Tantra và Upanishad.THIỀNThiền là một bước phát triển phi thường. Hiếm khi một khả năng như vậy trở t...",98200,Thái Hà,2019-06-01 00:00:00,13 x 19 cm,Bìa mềm,290,,,,
51,Sự Sống Bất Tử,https://salt.tikicdn.com/cache/280x280/ts/product/61/d7/e8/efd34a37b6c81f338defd011472f6297.jpg,- Kiến thức tôn giáo,"Jeffrey Long,Paul Perry","Cuộc sống sau cái chết và sự tồn tại của một Đấng tối cao luôn là đề tài mà con người quan tâm trong suốt chiều dài lịch sử. Là một bác sĩ y khoa, người thành lập Cơ sở Nghiên cứu Trải nghiệm Cận tử (...",76500,First News - Trí Việt,2019-04-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,236,,,,
52,Trao Gởi Nhân Duyên,https://salt.tikicdn.com/cache/280x280/ts/product/cb/68/63/da12b3122f07b6b57aa7996f29fa8a08.jpg,- Kiến thức tôn giáo,Quán Như,"Trao Gởi Nhân DuyênSống trên đời khó hay dễ? Hơn thua, toan tính, mong cầu, lo sợ...!Ngước lên nhìn những vì sao trên bầu trời, mỗi người đều thấy bản thân nhỏ bé.Cuối xuống nhìn vào tâm mình, lại ...",56800,Saigon Books,2018-09-04 10:55:04,<p>13 x 20.5 cm</p>,Bìa mềm,228,,,,
53,Upanishad - Cốt Tủy Của Giáo Huấn,https://salt.tikicdn.com/cache/280x280/ts/product/ed/6f/51/9ede26ef3b78e1366ab21d9efd59809e.jpg,- Kiến thức tôn giáo,Osho,"Thái Hà Books trân trọng giới thiệu tới bạn đọc bộ sách gồm 5 cuốn của Osho: Đạo, Đức Phật, Thiền, Tantra và Upanishad.UPANISHADTừ Upanishad nghĩa là giáo huấn bí truyền, giáo huấn ẩn giấu, giáo huấn ...",98200,Thái Hà,2019-06-01 00:00:00,13 x 19 cm,Bìa mềm,285,,,,
54,Combo 4 Cuốn Sách Hay Về Cuộc Sống Của Thầy Thích Nhất Hạnh :Tĩnh Lặng + Muốn An Được An + Gieo Trồng Hạnh Phúc +Tìm Bình Yên Trong Gia Đình,https://salt.tikicdn.com/cache/280x280/ts/product/4d/f9/1b/60d315e17f939ab94a571e015f4baec7.jpg,- Kiến thức tôn giáo, Thích Nhất Hạnh,Combo 4 Cuốn Sách Hay Về Cuộc Sống Của Thầy Thích Nhất Hạnh :Tĩnh Lặng + Muốn An Được An + Gieo Trồng Hạnh Phúc +Tìm Bình Yên Trong Gia Đình1.Tĩnh LặngCòn sống và bước đi trên mặt đất này là một phé...,291500,Thái Hà,,,Bìa mềm,,Nhà Xuất Bản Lao Động,,,
55,Kinh Phật Cho Người Tại Gia (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/50/fc/88/37e971c84891ebab2ef83cbd0061881d.jpg,- Kiến thức tôn giáo,Thích Nhật Từ,"Quyển “Kinh Phật cho người tại gia” gồm 3 phần: Phần dẫn nhập, phần chánh Kinh và phần sám nguyện. Phần chánh Kinh là phần do tác giả tổng hợp và phiên dịch các bài Kinh cần thiết cho Phật tử tại gia ...",145000,Khai Tuệ,2018-06-14 13:53:46,<p>14 x 20 cm</p>,Bìa cứng,926,,,,
56,Thả Trôi Phiền Muộn (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/77/9d/6f/190b38ad82aa7b3f4f5431dd8293f196.jpg,- Kiến thức tôn giáo,Suối Thông,"Dù đục dù trong con sông vẫn chảyDù cao dù thấp cây lá vẫn xanhDù người phàm tục hay kẻ tu hànhĐều phải sống từ những điều rất nhỏChúng ta đến thế giới này, tựu trung chỉ có hai việc lớn: sanh và ...",68200,Saigon Books,2021-06-01 00:00:00,13 x 20.5 cm,Bìa mềm,256,Nhà Xuất Bản Dân Trí,,,
57,Combo 2 tập Muôn Kiếp Nhân Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/81/0c/91/d2fe8de3cd33348cdd2974c2366f15fc.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Muôn kiếp nhân sinh” là tác phẩm do Giáo sư John Vũ - Nguyên Phong viết từ năm 2017 và hoàn tất cả 2 tập vào đầu năm 2021 ghi lại những câu chuyện, trải nghiệm tiền kiếp kỳ lạ từ nhiều kiếp sống của...",348000,First News - Trí Việt,,,,,Nhà Xuất Bản Tổng hợp TP.HCM,,,
58,Chánh Niệm Cho Người Bận Rộn,https://salt.tikicdn.com/cache/280x280/ts/product/0a/3a/1d/5150de6d6bdf222e543ebc4cc6ffd01e.jpg,- Kiến thức tôn giáo,Nhiều Tác Giả,"So với những khoảnh khắc hiếm hoi dành cho thú vui và sở thích, thì phần lớn thời gian mà mỗi chúng ta phải dành ra trong ngày để tất tả ngược xuôi có thể khiến ta kiệt sức và nản lòng. Để khỏa lấp nỗ...",94900,Saigon Books,2020-07-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,292,Nhà Xuất Bản Văn Hóa - Văn Nghệ,Bùi Minh Đức,,
59,Bộ 5 Cuốn Sách Của Thiền Sư Ajahn Chah : Quy Luật Của Nhân Sinh + Đời Sống Con Người Và Xã Hội Hôm Nay + Phật Tại Tâm + Thân Và Tâm + Thiên Nhiên Tâm,https://salt.tikicdn.com/cache/280x280/ts/product/fb/5a/bf/6438b9ec70bd86d53dc3d0b9afe8c39f.jpg,- Kiến thức tôn giáo,Ajahn Chah,"Quy Luật Của Nhân SinhCuốn sách nhỏ này là tập hợp những bài thuyết giảng, đối thoại, tâm sự và chia sẻ của Ngài Ajahn Chah, với lối diển tả thân mật, cởi mở, dễ hiểu đi thẳng vào lòng người thể hiện...",184000,Công Ty TNHH TM - DV Chính Thông,2020-09-07 22:54:04,,Bìa mềm,,Nhiều Nhà Xuất Bản,,,
60,"Combo 2 Cuốn : Muôn Kiếp Nhân Sinh,  Dấu Chân Trên Cát (Tái Bản)",https://salt.tikicdn.com/cache/280x280/ts/product/8f/4e/8b/e0390c24150e3817df827fdfdbb06f1f.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Muôn kiếp nhân sinh” là tác phẩm do Giáo sư John Vũ - Nguyên Phong viết từ năm 2017 và hoàn tất đầu năm 2020 ghi lại những câu chuyện, trải nghiệm tiền kiếp kỳ lạ từ nhiều kiếp sống của người bạn tâm...",229200,First News - Trí Việt,2020-09-01 00:00:00,14.5 x 20.5 cm,Bìa gập,,Nhà Xuất Bản Tổng hợp TP.HCM,Công Ty First News - Trí Việt biên soạn,,
61,Một Cội Cây Rừng,https://salt.tikicdn.com/cache/280x280/ts/product/e5/65/20/8c6025cdf95aa0e5a7b6e4711b63d4f6.jpg,- Kiến thức tôn giáo,Ajahn Chah,"“Phật pháp đang hiển lộ trong mọi khoảnh khắc, nhưng chỉ khi tâm an tĩnh, chúng ta mới có thể thấu hiểu, vì Phật pháp đang giảng dạy chúng ta bằng vô ngôn”. Ajahn Chah khuyến khích chúng ta tìm Pháp, ...",53900,VanLangBooks,2019-07-01 00:00:00,13.5 x 21 cm,Bìa mềm,184,,,,
62,Bộ 3 Cuốn Nghiên Cứu Về Cái Chết Và Tiến Trình Chết Dưới Góc Độ Phật Giáo: Kiếp Nào Ta Cũng Tìm Thấy Nhau + Hành Trình Sinh Tử + Hành Trình Của Linh Hồn,https://salt.tikicdn.com/cache/280x280/ts/product/00/09/db/bb48859f266c9fef81126661d73d86ab.jpg,- Kiến thức tôn giáo,"Dzongsar Jamyang Khyentse,TS Michael Newton","Hành trình sinh tửBất kể chúng ta là ai – ngôi sao nhạc pop, y tá, giáo viên, ông trùm bất động sản, người làm vườn, người theo chủ nghĩa vô thần, CEO, thư ký, người quét đường, người theo thuyết bất...",271500,Thái Hà,2020-09-29 22:51:49,,,900,Nhà Xuất Bản Hà Nội,Nhiều dịch giả,Bìa mềm,
63,Trở Về Từ Xứ Tuyết (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/b4/41/bf/0943aff5504cfba83ce672afa4ae1665.jpg,- Kiến thức tôn giáo,Nguyên Phong,"Trở về từ xứ tuyết là cuốn sách tiếp theo trong bộ sách về văn hóa, tâm linh của dịch giả Nguyên Phong được First News xuất bản. Sau cuốn sách về cuộc hành trình “Đường mây qua xứ tuyết” các ngài đã đ...",68500,First News - Trí Việt,2021-04-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,232,Nhà Xuất Bản Thế Giới,,,
64,Bộ 3 Cuốn Đức Đạt - Lai Lạc - Ma XIV ( Song Ngữ Anh – Việt ): Tứ Diệu Đế + Phát Tâm Bồ - Đề + Ba Điểm Tinh Yếu Trên Đường Tu Tập ( Tái Bản 2021 ),https://salt.tikicdn.com/cache/280x280/ts/product/cb/52/fd/b7805a3afd438d4ace3082702745844f.jpg,- Kiến thức tôn giáo,Đức Đạt Lai Lạt Ma XIV,"Tứ Diệu Đế (Song Ngữ Anh – Việt)Đức Đạt-lai Lạt-ma thứ 14 hiện nay là một trong số ít các vị lãnh đạo tinh thần được tôn kính trên toàn thế giới. Không chỉ giới hạn trong phạm vi tôn giáo, sự trân tr...",175000,Công ty TNHH TM & DV Văn Hóa Hương Trang,,,Bìa mềm,,Nhà Xuất Bản Tôn Giáo,,,
65,Hành Trình Về Phương Đông (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/58/c8/46/3a68bdfab9a49794886f81642e995b6d.jpg,- Kiến thức tôn giáo,Braid T. Spalding,“Hành trình về phương Đông” kể về những trải nghiệm của một đoàn khoa học gồm các chuyên gia hàng đầu của Hội Khoa Học Hoàng Gia Anh được cử sang Ấn Độ nghiên cứu về huyền học và những khả năng siêu n...,239500,Huy Hoàng Bookstore,2020-09-01 00:00:00,16 x 24 cm,Bìa cứng,926,Nhà Xuất Bản Văn Học,AnLe Books,,
66,Kinh Diệu Pháp Liên Hoa Bìa Da Tái Bản,https://salt.tikicdn.com/cache/280x280/ts/product/93/a3/38/9ba028bb6ba6caf6d1b3956ab963a044.jpg,- Kiến thức tôn giáo,HT.Thích Trí Tịnh,"Sách gồm những nội dung chính như sau:Nghi thức sám hốiNghi thức trì tụngKinh Diệu Pháp Liên Hoa - Quyển Thứ NhứtPhẩm ""tựa"" thứ nhứtPhẩm ""phương tiện"" thứ haiSự tích tả kinh pháp hoaKinh Diệu Ph...",68000,Công ty TNHH TM & DV Văn Hóa Hương Trang,,,Bìa Da,616,Nhà Xuất Bản Tôn Giáo,,,
67,"Combo 3 cuốn: Bên Rặng Tuyết Sơn, Hoa Sen Trên Tuyết, Đường Mây Qua Xứ Tuyết ",https://salt.tikicdn.com/cache/280x280/ts/product/4d/ae/f1/7476dbc6c304f9e3f1cb5fdebd6c6a42.jpg,- Kiến thức tôn giáo,"Anagarika Govinda,Swami Amar Jyoti,Nguyên Phong"," Bên Rặng Tuyết Sơn Bên Rặng Tuyết Sơn là quyển sách mới trong bộ sách khoa học tâm linh nổi tiếng của dịch giả Nguyên Phong. Khơi nguồn từ vùng núi Himalaya xa xôi và vùng đồng bằng Ấn Độ, Bên Rặng...",261500,First News - Trí Việt,,,Bìa mềm,,Nhà Xuất Bản Tổng hợp TP.HCM,,,
68,Kinh Địa Tạng,https://salt.tikicdn.com/cache/280x280/ts/product/38/a1/05/6f1d5b6393a4cabd9042f6c9bfc04248.jpg,- Kiến thức tôn giáo,Thích Nhật Từ,"Quyển Kinh Địa Tạng gồm 3 phần chính sau: phần dẫn nhập, phần chánh Kinh, phần hồi hướng.Bồ Tát Địa Tạng là vị Bồ Tát quan trọng trong 6 vị Bồ Tát Đại Thừa (5 vị còn lại là Quán Thế Âm, Đại Thế Chí, ...",29000,Khai Tuệ,2018-07-23 00:00:00,"<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background: white; text-align: left;"" align=""center"">14cm x 20cm</p>",Bìa mềm,160,,,,
69,Việt Nam Phật Giáo Sử Luận - Tác phẩm không thể thiếu cho những ai muốn tìm hiểu về lịch sử Phật giáo Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/3c/31/65/3ffe08353362f4bb93e18e6126360e33.jpg,- Kiến thức tôn giáo,Nguyễn Lang,Nguyễn Lang là bút danh của Thiền sư Thích Nhất Hạnh khi soạn cuốn Việt Nam Phật Giáo Sử Luận xuất bản trong thập niên 70 của thế kỷ XX. Tác phẩm Việt Nam Phật Giáo Sử Luận của Giáo sư Nguyễn Lang (T...,156000,Công Ty Sách Thời Đại,,,Bìa cứng,1162,Nhà Xuất Bản Văn Học,,,
70,Nhân Quả Và Phật Pháp Nhiệm Màu Tập 3,https://salt.tikicdn.com/cache/280x280/ts/product/97/86/6b/7f4b1e7832da472deaf888498fd596ee.jpg,- Kiến thức tôn giáo,Hoàng Anh Sướng,"""Có một điều rất thú vị và đặc biệt trong cuốn sách này. Đó là khi đưa ra và lý giải những câu chuyện kỳ bí về CÕI ÂM, cùng với những trải nghiệm của bản thân, Hoàng Anh Sướng đã gửi đến chúng ta một ...",114500,Huy Hoàng Bookstore,2021-07-01 00:00:00,13.5 x 20.5 cm,Bìa mềm,140,Nhà Xuất Bản Hội Nhà Văn,,,
71,Sen Nở Trời Phương Ngoại,https://salt.tikicdn.com/cache/280x280/ts/product/de/eb/38/72fcbfad6fed052593060ab4eea53b85.jpg,- Kiến thức tôn giáo,Thích Nhất Hạnh,"Kinh Pháp Hoa là một kinh rất nổi tiếng, có thể nói là một kênh nổi tiếng nhất của đạo Bụt Đại Thừa. Tư tưởng tôn xưng kinh Pháp Hoa là vua của tất cả các kinh đã có từ lâu. Chính nhờ kinh Pháp Hoa mà...",80800,Saigon Books,2019-09-01 00:00:00,14 x 20.5 cm,Bìa mềm,344,,,,
72,Hành Trình Sinh Tử,https://salt.tikicdn.com/cache/280x280/ts/product/2f/c2/44/51bb1177833ff69a6a79d37dd392b42a.jpg,- Kiến thức tôn giáo,Dzongsar Jamyang Khyentse,"Bất kể chúng ta là ai – ngôi sao nhạc pop, y tá, giáo viên, ông trùm bất động sản, người làm vườn, người theo chủ nghĩa vô thần, CEO, thư ký, người quét đường, người theo thuyết bất khả tri, nhà phê b...",84000,Thái Hà,2020-08-01 00:00:00,13 x 20.5 cm,Bìa mềm,340,Nhà Xuất Bản Hà Nội,,,
73,Đọc Hiểu Kinh Phật,https://salt.tikicdn.com/cache/280x280/media/catalog/product/p/t/pt000027doc_hieu_kinh_phat_do_giai.jpg,- Kiến thức tôn giáo,Minh An,"Thích Ca Mâu Ni dạy đệ tử trực tiếp bằng khẩu truyền và không hề dùng văn tự ghi chép. Sau khi ông qua đời, các đệ tử tiến hành kết tập những lời thuyết giáo của ông, từ đó hình thành kinh Phật dưới h...",56500,Huy Hoàng Bookstore,2012-10-31 07:00:00,16 x 24 cm,Bìa mềm,256,,,,
